,src,nei,d,d_est,d_err_absolute,d_err_relative
0,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
1,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
2,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
3,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
4,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
5,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
6,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
7,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
8,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
9,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
10,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
11,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
12,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
13,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
14,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
15,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
16,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
17,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
18,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
19,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
20,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
21,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
22,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
23,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
24,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
25,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
26,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
27,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
28,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
29,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
30,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
31,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
32,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
33,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
34,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
35,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
36,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
37,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
38,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
39,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
40,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
41,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
42,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
43,12:2E,04:20,1.8515128949051394,1.83,0.0215128949051393,0.011619089969255383
44,12:2E,04:20,1.8515128949051394,1.92,0.06848710509486056,0.03698980724537132
45,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
46,12:2E,04:20,1.8515128949051394,1.92,0.06848710509486056,0.03698980724537132
47,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
48,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
49,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
50,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
51,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
52,12:2E,04:20,1.8515128949051394,1.91,0.05848710509486055,0.03158881866596834
53,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
54,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
55,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
56,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
57,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
58,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
59,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
60,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
61,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
62,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
63,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
64,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
65,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
66,12:2E,04:20,1.8515128949051394,1.82,0.03151289490513931,0.017020078548658363
67,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
68,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
69,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
70,12:2E,04:20,1.8515128949051394,1.9,0.04848710509486054,0.02618783008656536
71,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
72,12:2E,04:20,1.8515128949051394,1.85,0.0015128949051392837,0.000817112810449422
73,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
74,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
75,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
76,12:2E,04:20,1.8515128949051394,1.89,0.03848710509486053,0.020786841507162382
77,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
78,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
79,12:2E,04:20,1.8515128949051394,1.87,0.018487105094860734,0.00998486434835654
80,12:2E,04:20,1.8515128949051394,1.86,0.008487105094860725,0.004583875768953558
81,12:2E,04:20,1.8515128949051394,1.88,0.02848710509486052,0.0153858529277594
